field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bx,0,Poly_11,-0.984,-0.974,116,126,3,a_1_3,a_1_3,15357742.642880656,True
Bx,0,Poly_11,-0.984,-0.974,116,126,4,a_1_4,a_1_4,3972823.3953118282,True
Bx,0,Poly_110,0.34600000000000003,0.358,1446,1458,0,a_1_0,a_1_0,184018.204191552,True
Bx,0,Poly_110,0.34600000000000003,0.358,1446,1458,1,a_1_1,a_1_1,-2118957.8969935263,True
Bx,0,Poly_110,0.34600000000000003,0.358,1446,1458,2,a_1_2,a_1_2,9148251.984467275,True
Bx,0,Poly_110,0.34600000000000003,0.358,1446,1458,3,a_1_3,a_1_3,-17550577.242617913,True
Bx,0,Poly_110,0.34600000000000003,0.358,1446,1458,4,a_1_4,a_1_4,12623874.612402167,True
Bx,0,Poly_111,0.358,0.376,1458,1476,0,a_1_0,a_1_0,19103.170604247345,True
Bx,0,Poly_111,0.358,0.376,1458,1476,1,a_1_1,a_1_1,-176861.2859899634,True
Bx,0,Poly_111,0.358,0.376,1458,1476,2,a_1_2,a_1_2,594082.1887572015,True
Bx,0,Poly_111,0.358,0.376,1458,1476,3,a_1_3,a_1_3,-844467.7710120543,True
Bx,0,Poly_111,0.358,0.376,1458,1476,4,a_1_4,a_1_4,415155.99834209454,True
Bx,0,Poly_112,0.376,0.388,1476,1488,0,a_1_0,a_1_0,29144.568150147537,True
Bx,0,Poly_112,0.376,0.388,1476,1488,1,a_1_1,a_1_1,-348124.4443650457,True
Bx,0,Poly_112,0.376,0.388,1476,1488,2,a_1_2,a_1_2,1534797.8463770908,True
Bx,0,Poly_112,0.376,0.388,1476,1488,3,a_1_3,a_1_3,-2969666.372986818,True
Bx,0,Poly_112,0.376,0.388,1476,1488,4,a_1_4,a_1_4,2132703.232536264,True
Bx,0,Poly_113,0.388,0.4,1488,1500,0,a_1_0,a_1_0,139524.62134065805,True
Bx,0,Poly_113,0.388,0.4,1488,1500,1,a_1_1,a_1_1,-1398024.4345847615,True
Bx,0,Poly_113,0.388,0.4,1488,1500,2,a_1_2,a_1_2,5252279.088987268,True
Bx,0,Poly_113,0.388,0.4,1488,1500,3,a_1_3,a_1_3,-8768663.120064246,True
Bx,0,Poly_113,0.388,0.4,1488,1500,4,a_1_4,a_1_4,5488860.798135689,True
Bx,0,Poly_114,0.4,0.41200000000000003,1500,1512,0,a_1_0,a_1_0,329786.1176556209,True
Bx,0,Poly_114,0.4,0.41200000000000003,1500,1512,1,a_1_1,a_1_1,-3286048.400114892,True
Bx,0,Poly_114,0.4,0.41200000000000003,1500,1512,2,a_1_2,a_1_2,12276917.445961418,True
Bx,0,Poly_114,0.4,0.41200000000000003,1500,1512,3,a_1_3,a_1_3,-20382749.070930213,True
Bx,0,Poly_114,0.4,0.41200000000000003,1500,1512,4,a_1_4,a_1_4,12688370.70581723,True
