field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bx,0,Poly_15,-164.0,-110.0,936,990,2,ks_0_2,ks_0_2,-0.1540267763449943,True
Bx,0,Poly_15,-164.0,-110.0,936,990,3,ks_0_3,ks_0_3,-0.0007595599804404314,True
Bx,0,Poly_15,-164.0,-110.0,936,990,4,ks_0_4,ks_0_4,-1.3863948329745547e-06,True
Bx,0,Poly_16,-110.0,-56.0,990,1044,0,ks_0_0,ks_0_0,-52.14138960357192,True
Bx,0,Poly_16,-110.0,-56.0,990,1044,1,ks_0_1,ks_0_1,-2.8331200309969344,True
Bx,0,Poly_16,-110.0,-56.0,990,1044,2,ks_0_2,ks_0_2,-0.05526786174292779,True
Bx,0,Poly_16,-110.0,-56.0,990,1044,3,ks_0_3,ks_0_3,-0.00046033138285256564,True
Bx,0,Poly_16,-110.0,-56.0,990,1044,4,ks_0_4,ks_0_4,-1.38697547612112e-06,True
Bx,0,Poly_17,-56.0,-2.0,1044,1098,0,ks_0_0,ks_0_0,0.3781170762474273,True
Bx,0,Poly_17,-56.0,-2.0,1044,1098,1,ks_0_1,ks_0_1,-0.017567562596111946,True
Bx,0,Poly_17,-56.0,-2.0,1044,1098,2,ks_0_2,ks_0_2,-0.004960140211137648,True
Bx,0,Poly_17,-56.0,-2.0,1044,1098,3,ks_0_3,ks_0_3,-0.00016073088380295664,True
Bx,0,Poly_17,-56.0,-2.0,1044,1098,4,ks_0_4,ks_0_4,-1.3868678887034268e-06,True
Bx,0,Poly_18,-2.0,52.0,1098,1152,0,ks_0_0,ks_0_0,0.3797643332167561,True
Bx,0,Poly_18,-2.0,52.0,1098,1152,1,ks_0_1,ks_0_1,-0.014396330025881823,True
Bx,0,Poly_18,-2.0,52.0,1098,1152,2,ks_0_2,ks_0_2,-0.003187239479106281,True
Bx,0,Poly_18,-2.0,52.0,1098,1152,3,ks_0_3,ks_0_3,0.00013881927304601572,True
Bx,0,Poly_18,-2.0,52.0,1098,1152,4,ks_0_4,ks_0_4,-1.3864617761524475e-06,True
Bx,0,Poly_19,52.0,106.0,1152,1206,0,ks_0_0,ks_0_0,-41.796915446594696,True
Bx,0,Poly_19,52.0,106.0,1152,1206,1,ks_0_1,ks_0_1,2.4181747905918356,True
Bx,0,Poly_19,52.0,106.0,1152,1206,2,ks_0_2,ks_0_2,-0.04994798355421032,True
Bx,0,Poly_19,52.0,106.0,1152,1206,3,ks_0_3,ks_0_3,0.0004384269503973019,True
Bx,0,Poly_19,52.0,106.0,1152,1206,4,ks_0_4,ks_0_4,-1.3868998202507946e-06,True
Bx,0,Poly_20,106.0,160.0,1206,1260,0,ks_0_0,ks_0_0,-399.08237945762727,True
Bx,0,Poly_20,106.0,160.0,1206,1260,1,ks_0_1,ks_0_1,12.528586593511568,True
Bx,0,Poly_20,106.0,160.0,1206,1260,2,ks_0_2,ks_0_2,-0.14532169570431452,True
Bx,0,Poly_20,106.0,160.0,1206,1260,3,ks_0_3,ks_0_3,0.0007384268810376885,True
Bx,0,Poly_20,106.0,160.0,1206,1260,4,ks_0_4,ks_0_4,-1.3877226057333827e-06,True
Bx,0,Poly_21,160.0,214.0,1260,1314,0,ks_0_0,ks_0_0,-1624.3229330834688,True
