point,name,current_norm_mm,previous_norm_mm
MBXHC.X0220117.S,MBXHC.X0220117,0.008062257770246663,0.0080622577702466
MBXHC.X0220120.E,MBXHC.X0220120,0.008062257770246663,0.0080622577702466
MBXHC.X0220120.S,MBXHC.X0220120,0.00905538516549323,0.0090553851654932
MBXHC.X0220123.E,MBXHC.X0220123,0.008062257657437743,0.0080622576574377
MBXHC.X0220123.S,MBXHC.X0220123,0.008124038356136998,0.0081240383561369
MBXHC.X0220127.E,MBXHC.X0220127,0.008062257770246663,0.0080622577702466
MBXHC.X0220127.S,MBXHC.X0220127,0.009110433581100176,0.0091104335811001
XSCI.X0220130.E,XSCI.X0220130,1.0005048727759953,1.000504872775995
XCHV.X0220130.E,XCHV.X0220130,0.009055385152938605,0.0090553851529386
XCHV.X0220130.S,XCHV.X0220130,0.008062257770246663,0.0080622577702466
QNL.X0220132.E,QNL.X0220132,0.00905538505250173,0.0090553850525017
QNL.X0220132.S,QNL.X0220132,0.009433981204644363,0.0094339812046443
LSX.X0220134.E,LSX.X0220134,0.00812403830016146,0.0081240383001614
LSX.X0220134.S,LSX.X0220134,0.009000000090964022,0.009000000090964
MBXHC.X0220137.E,MBXHC.X0220137,0.009055385152938605,0.0090553851529386
MBXHC.X0220137.S,MBXHC.X0220137,0.00927361852111874,0.0092736185211187
MBXHC.X0220141.E,MBXHC.X0220141,0.010049875742806821,0.0100498757428068
MBXHC.X0220141.S,MBXHC.X0220141,0.009110433593578939,0.0091104335935789
MBXHC.X0220144.E,MBXHC.X0220144,0.010099504980403335,0.0100995049804033
MBXHC.X0220144.S,MBXHC.X0220144,0.010049875539186093,0.010049875539186
MBXHC.X0220147.E,MBXHC.X0220147,0.010246950684615041,0.010246950684615
MBXHC.X0220147.S,MBXHC.X0220147,0.010198038956846353,0.0101980389568463
QNL.X0220167.E,QNL.X0220167,0.011045361020178578,0.0110453610201785
QNL.X0220167.S,QNL.X0220167,0.011180339818597465,0.0111803398185974
QNL.X0220177.E,QNL.X0220177,0.012041594690007866,0.0120415946900078
QNL.X0220177.S,QNL.X0220177,0.011224972233261795,0.0112249722332617
XCSV.X0220179.E,XCSV.X0220179,0.011224972081341354,200.0112461762311
XCSV.X0220179.S,XCSV.X0220179,0.011180339818597465,200.01124617634423
LSX.X0220195.E,LSX.X0220195,0.013038404803644642,100.01263666658066
LSX.X0220195.S,LSX.X0220195,0.013190906054247758,100.01263666658066
XCHV.X0220196.E,XCHV.X0220196,0.013190906028392013,40.01331495890487
XCHV.X0220196.S,XCHV.X0220196,0.013076696928014286,40.01331495890487
LSX.X0220197.E,LSX.X0220197,0.012165524992501441,12.012143896963462
LSX.X0220197.S,LSX.X0220197,0.012041594576713732,12.012143896850374
XCSV.X0220213.E,XCSV.X0220213,0.014142135684491988,1.9864010168874573
XCSV.X0220213.S,XCSV.X0220213,0.014142135555869998,1.9853042588306495
QNL.X0220215.E,QNL.X0220215,0.014142135668414227,11.985973385677926
QNL.X0220215.S,QNL.X0220215,0.014142135555869998,11.98487630313377
QNL.X0220225.E,QNL.X0220225,0.015066519150371384,39.98515495787499
QNL.X0220225.S,QNL.X0220225,0.015132745994854062,39.98515412004379
XSCI.X0220256.E,XSCI.X0220256,1.0006407948881488,1.0006407948881488
XCON.X0220256.E,XCON.X0220256,0.017117242811748336,0.0171172428117483
XFFH.X0220258.E,XFFH.X0220258,0.01711724280510669,99.98238561870497
XFFV.X0220257.E,XFFV.X0220257,0.01705872219278722,199.98209143069175
XFFH.X0220258.S,XFFH.X0220258,0.01711724280510669,99.98248717648382
XFFV.X0220257.S,XFFV.X0220257,0.01802775646423467,199.9820914305787
QNL.X0220260.E,QNL.X0220260,0.017117242698840185,0.0171172426988401
QNL.X0220260.S,QNL.X0220260,0.017117242811748336,0.0171172428117483
XFFH.X0220262.E,XFFH.X0220262,0.018027756350722873,0.0180277563507228
XFFH.X0220262.S,XFFH.X0220262,0.018027756350722873,0.0180277563507228
QNL.X0220295.E,QNL.X0220295,0.020099751259368377,0.0200997512593683
QNL.X0220295.S,QNL.X0220295,0.020223748494390032,0.02022374849439
QNL.X0220305.E,QNL.X0220305,0.020248456691423354,0.0202484566914233
QNL.X0220305.S,QNL.X0220305,0.019235383888990442,0.0192353838889904
MBNV.X0220309.E,MBNV.X0220309,0.020223748494390032,0.02022374849439
MBNV.X0220309.S,MBNV.X0220309,0.020223748381960987,0.0202237483819609
MBNV.X0220315.E,MBNV.X0220315,0.02109502303491208,3.194533142491049
MBNV.X0220315.S,MBNV.X0220315,0.021095023148086815,3.194016123862209
MBNV.X0220321.E,MBNV.X0220321,0.021095023148086815,31.937533561627983
MBNV.X0220321.S,MBNV.X0220321,0.02211334430595967,31.942831198850214
XFFH.X0220324.E,XFFH.X0220324,0.02222611072500736,0.0222261107250073
XFFV.X0220323.E,XFFV.X0220323,0.02121320339811598,0.0212132033981159
XFFH.X0220324.S,XFFH.X0220324,0.022113344419063794,0.0221133444190637
XFFV.X0220323.S,XFFV.X0220323,0.021236760672516848,0.0212367606725168
MBNV.X0220327.E,MBNV.X0220327,0.026076809537534214,3.1942360589696066
MBNV.X0220327.S,MBNV.X0220327,0.0392300904102073,3.196941194210638
MBNV.X0220333.E,MBNV.X0220333,0.024083189191192164,0.0240831891911921
MBNV.X0220333.S,MBNV.X0220333,0.02437211518036197,0.0243721151803619
MBNV.X0220339.E,MBNV.X0220339,0.039115214454530825,0.0391152144545308
MBNV.X0220339.S,MBNV.X0220339,0.038327535770860684,0.0383275357708606
QNL.X0220343.E,QNL.X0220343,0.023086792796503993,0.0230867927965039
