# Table
# meta={"__class__": "Table", "column_dtypes": {"name": "|O", "phi_rad_ccs": "<f8", "psi_rad_ccs": "<f8", "theta_gon_ccs": "<f8", "theta_rad": "<f8", "x_ccs": "<f8", "y_ccs": "<f8", "z_ccs": "<f8"}, "xtrack_version": "0.112.0"}
name,x_ccs,y_ccs,z_ccs,theta_gon_ccs,phi_rad_ccs,psi_rad_ccs,theta_rad
mdpx.x0610650.d,798.8941688360484,5244.035485035985,2446.9146694010583,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mcxcd.x0610651.u,798.9888622718594,5244.526414924712,2446.9192517115125,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mcxcd.x0610651.d,799.045678333346,5244.820972857949,2446.922001097785,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610652.u,799.140371769157,5245.3119027466755,2446.9265834082394,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610652.d,799.5191455124011,5247.275622301582,2446.9449126500554,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610654.u,799.6138389482121,5247.766552190309,2446.9494949605096,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610654.d,799.9926126914562,5249.730271745216,2446.9678242023256,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
qwl.x0610677.u,803.872581530377,5269.845633005903,2447.155579790869,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
qwl.x0610677.d,804.4308940279188,5272.740155629836,2447.182597093306,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xion.x0610677.u,804.841674152467,5274.869809487133,2447.2024751560557,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xion.x0610677.d,804.8818241692509,5275.0779637599535,2447.204418055688,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xcio.x0610677.u,804.9147774849131,5275.24880736123,2447.206012699726,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xcio.x0610677.d,804.9337161720753,5275.346993338976,2447.2069291618172,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610682.u,805.0113553200968,5275.749506754743,2447.2106861981583,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610682.d,805.0113742587839,5275.749604940721,2447.21068711462,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610683.u,805.2007421917189,5276.731366532196,2447.2198508190663,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610683.d,805.200761130406,5276.731464718174,2447.219851735528,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
qwl.x0610690.u,806.214160811112,5281.985347294338,2447.268891163776,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
qwl.x0610690.d,806.7724733086538,5284.879869918271,2447.295908466213,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610691.u,806.7724733086538,5284.879869918271,2447.295908466213,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610691.d,806.772492247341,5284.879968104248,2447.295909382675,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mbxgd.x0610693.u,806.8787190710381,5285.4306918401735,2447.301049805351,12.13053126699479,0.011564214197464352,-6.63446609843667e-05,0.1905459395626606
mbxgd.x0610693.d,807.4468660247802,5288.3761978261045,2447.3357416747012,12.13053126699479,0.011564214197464352,-6.634466098436669e-05,0.1905459395626606
mbxgd.x0610697.u,807.5794291513137,5289.063458658654,2447.3455158922943,12.130551538546538,0.016363144186902163,-6.634910723428929e-05,0.19054625798745084
mbxgd.x0610697.d,808.1475389697073,5292.008767076617,2447.394603134248,12.130551538546538,0.016363144186902167,-6.63491072342893e-05,0.19054625798745084
mbxgd.x0610701.u,808.2800919049431,5292.695973896596,2447.407736136084,12.130571813282515,0.02116207417633832,-6.635508231925915e-05,0.19054657646225884
mbxgd.x0610701.d,808.8481515045981,5295.641016917066,2447.471217620178,12.130571813282515,0.02116207417633832,-6.635508231925915e-05,0.19054657646225884
xwcm.x0610703.u,808.9144213502411,5295.984585407692,2447.4794633619927,12.130581952136701,0.02356153917105562,-6.635864338310283e-05,0.19054673572300798
xwcm.x0610703.d,808.93335566972,5296.082748237275,2447.481819297914,12.130581952136701,0.02356153917105562,-6.635864338310283e-05,0.19054673572300798
mbnv.x0610706.u,809.0185582885084,5296.524471540695,2447.4924207832455,12.130602244433911,0.02836307916048263,-6.636691798046858e-05,0.19054705447366718
mbnv.x0610706.d,809.9651577906067,5301.432000773271,2447.6342171655765,12.130602244433911,0.02836307916048263,-6.636691798046858e-05,0.19054705447366718
qwl.x0610710.u,810.0675630747894,5301.962907522075,2447.652155617136,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
qwl.x0610710.d,810.6255966022297,5304.855959068594,2447.749906992765,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xcmv.x0610715.u,810.8340073599339,5305.936437275079,2447.7864145451963,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xcmv.x0610715.d,811.7804685665831,5310.8432411192425,2447.9522072447025,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xvw.x0610720.u,812.2063666449632,5313.051253781077,2448.0268123015535,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xvw.x0610720.d,812.2063855741873,5313.0513519171545,2448.0268156174075,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
qwl.x0610723.u,812.4079723465915,5314.096452067923,2448.0621278044755,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
qwl.x0610723.d,812.9660058740318,5316.989503614442,2448.1598791801043,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xvw.x0610724.u,812.9661857016611,5316.9904359071725,2448.159910680717,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xvw.x0610724.d,812.9662046308852,5316.99053404325,2448.159913996571,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xcmh.x0610727.u,813.1055142558919,5317.712766501072,2448.1843170240113,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xcmh.x0610727.d,814.051975462541,5322.619570345236,2448.3501097235176,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xvw.x0610730.u,814.0992890582614,5322.864861469406,2448.358397700566,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xvw.x0610730.d,814.0993079874855,5322.864959605483,2448.35840101642,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xvw.x0610732.u,814.5157319891871,5325.023855160838,2448.4313464883485,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xvw.x0610732.d,814.5157509184112,5325.023953296915,2448.4313498042025,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xcmv.x0610733.u,814.5252060658656,5325.072972267319,2448.4330060732705,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xcmv.x0610733.d,815.4716672725148,5329.979776111482,2448.5987987727767,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xvw.x0610739.u,815.746131557831,5331.402700158252,2448.6468769977064,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xvw.x0610739.d,815.746150487055,5331.402798294329,2448.6468803135604,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xcmv.x0610741.u,815.7556056345095,5331.451817264732,2448.6485365826284,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
xcmv.x0610741.d,816.7020668411586,5336.358621108896,2448.8143292821346,12.130622542260468,0.033164619149906746,-6.637672513081297e-05,0.19054737331118116
