name,element_type,length_chord,tilt,angle,dtheta,dphi,dpsi,dpsi_no_tilt,dx,dy,ds,single_point,ds_exit_requested,ds_exit_rigid,ds_exit_dropped
QNL.X0220132,Quadrupole,2.99,0.0,0.0,0.0,-0.002006690309969194,0.0,0.0,0.0,0.003,0.0,False,0.0,-6.020072949919353e-06,6.020072949919353e-06
LSX.X0220134,Sextupole,0.7,0.0,0.0,0.0,-0.011428820228423422,0.0,0.0,0.0,0.004,0.0,False,0.0,-4.5715778523192085e-05,4.5715778523192085e-05
MBXHC.X0220137,RBend,2.5,0.0,-0.0025377072326041032,0.0,0.0,0.0,0.0,0.0,-0.006,0.0,False,0.0,0.0,0.0
MBXHC.X0220141,RBend,2.5,0.0,-0.0025377072326041032,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,False,0.0,0.0,0.0
MBXHC.X0220144,RBend,2.5,0.0,-0.0025377072326041032,0.0,0.0,0.0,0.0,0.0,0.001,0.0,False,0.0,0.0,0.0
MBXHC.X0220147,RBend,2.5,0.0,-0.0025377072326041032,0.0,0.0,0.0,0.0,0.0,0.02,0.0,False,0.0,0.0,0.0
QNL.X0220167,Quadrupole,2.99,0.0,0.0,0.0,-0.033451054175702946,0.0,0.0,0.0,0.05,0.0,False,0.0,-0.0016727086880190534,0.0016727086880190534
QNL.X0220177,Quadrupole,2.99,0.0,0.0,0.0,-0.0669396126571886,0.0,0.0,0.0,0.1,0.0,False,0.0,-0.0066964619737399644,0.0066964619737399644
XCSV.X0220179,Drift,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,False,0.0,0.0,0.0
LSX.X0220195,Sextupole,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,False,0.0,0.0,0.0
XCHV.X0220196,Drift,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,False,0.0,0.0,0.0
LSX.X0220197,Sextupole,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,False,0.0,0.0,0.0
XCSV.X0220213,Drift,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,False,0.0,0.0,0.0
QNL.X0220215,Quadrupole,2.99,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.0,0.0,False,0.0,0.0,0.0
QNL.X0220225,Quadrupole,2.99,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,False,0.0,0.0,0.0
XSCI.X0220256,Drift,0.1,0.0,0.0,0.0,0.0,-0.005,-0.005,0.0,0.002,0.0,True,0.0,0.0,0.0
XFFV.X0220257,Drift,0.276,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,False,0.0,0.0,0.0
XFFH.X0220258,Drift,0.276,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,False,0.0,0.0,0.0
QNL.X0220260,Quadrupole,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,False,-0.1,-0.10000000000000009,8.326672684688674e-17
XFFH.X0220262,Drift,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,False,-0.05,-0.04999999999999999,-1.3877787807814457e-17
QNL.X0220295,Quadrupole,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,False,-0.02,-0.020000000000000018,1.734723475976807e-17
QNL.X0220305,Quadrupole,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,False,-0.006,-0.005999999999999783,-2.1684043449710089e-16
MBNV.X0220309,RBend,5.0,1.5707963267948966,0.006851985375751005,0.0,0.0,1.5707963267948966,0.0,-0.1,6.123233995736766e-18,0.0,False,0.0,0.0,0.0
MBNV.X0220315,RBend,5.0,1.5707963267948966,0.006851985375751005,4.898582051115266e-20,0.0008000000853333579,1.5707963267948966,0.0,-1.2246396120538552e-19,-0.0019999882625855833,-6.851971971647105e-06,False,0.0,-1.600000255841394e-06,1.600000255841394e-06
MBNV.X0220321,RBend,5.0,1.5707963267948966,0.006851985375751005,4.898676825015284e-19,0.008000085335791027,1.5707963267948966,0.0,-1.2246396120538553e-18,-0.019999882625855833,-6.851971971647104e-05,False,0.0,-0.00016000256008208424,0.00016000256008208424
XFFV.X0220323,Drift,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,False,0.05,0.04999999999999999,1.3877787807814457e-17
XFFH.X0220324,Drift,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,False,0.02,0.020000000000000018,-1.734723475976807e-17
MBNV.X0220327,RBend,5.0,1.5707963267948966,0.006851985375751005,0.000803428840902098,0.0007999994686549716,1.5697963267948967,-0.0009999999999998899,-0.002,-0.0020068402345572306,0.001993136290613936,False,0.002,0.001996799998975618,3.200001024382046e-06
MBNV.X0220333,RBend,5.0,1.5707963267948966,0.006851985375751005,0.0008000047803251759,1.0963221250964716e-09,1.5707963267948966,0.0,-0.002,1.2246467991473531e-19,0.0,False,0.0,-1.600000255841394e-06,1.600000255841394e-06
MBNV.X0220339,RBend,5.0,1.5707963267948966,0.006851985375751005,0.00800013228422179,1.0963394909664982e-07,1.5707963267948966,0.0,-0.02,1.2246467991473532e-18,0.0,False,0.0,-0.00016000256008208424,0.00016000256008208424
QNL.X0220343,Quadrupole,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,False,0.0,0.0,0.0
QNL.X0220353,Quadrupole,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.0,False,0.0,0.0,0.0
QNL.X0220370,Quadrupole,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,False,0.0,0.0,0.0
XSCI.X0220374,Drift,0.1,0.0,0.0,0.0,0.0,-0.002,-0.002,-0.002,0.0,0.002,True,0.002,0.0020000000000000018,-1.734723475976807e-18
MBNH.X0220377,RBend,5.0,0.0,0.007196138994791374,2.881926808151643e-06,-0.040010933484856806,0.0,0.0,0.0,0.1,0.0,False,0.0,-0.004001601281281353,0.004001601281281353
MBNH.X0220382,RBend,5.0,0.0,0.007196138994791374,0.0,0.0,0.0,0.0,-0.019999870539098588,0.02,-7.196123467807324e-05,False,0.0,0.0,0.0
