overlap_length,overlap_order,overlapping_pipe_positions,s_start,s_end
6.220073702279478,2,VEBA.22370[SPVEBA_; ref=mba.22370; s=1904.39933936->1911.05942112; length=6.66008175947; span_s=1904.39933936->1911.05982363; span=6.66048426813] | MBA.22370[SPMBA__; ref=mba.22370; s=1904.61333936->1910.83341306; length=6.22007370228; span_s=1904.61333744->1910.83379135; span=6.2204539154],1904.6133393590026,1910.833413061282
6.220073702279024,2,VEBA.22030[SPVEBA_; ref=mba.22030; s=1795.12600728->1801.78608904; length=6.66008175947; span_s=1795.12600728->1801.78649155; span=6.66048426813] | MBA.22030[SPMBA__; ref=mba.22030; s=1795.34000728->1801.56008098; length=6.22007370228; span_s=1795.34000536->1801.56045927; span=6.2204539154],1795.3400072790027,1801.5600809812818
6.220073702279024,2,VEBA.22230[SPVEBA_; ref=mba.22230; s=1859.12152332->1865.78160508; length=6.66008175947; span_s=1859.12152332->1865.78200759; span=6.66048426813] | MBA.22230[SPMBA__; ref=mba.22230; s=1859.33552332->1865.55559702; length=6.22007370228; span_s=1859.3355214->1865.55597531; span=6.2204539154],1859.3355233190023,1865.5555970212813
6.220073702279024,2,VEBA.22250[SPVEBA_; ref=mba.22250; s=1865.78154266->1872.44162442; length=6.66008175947; span_s=1865.78154266->1872.44202693; span=6.66048426813] | MBA.22250[SPMBA__; ref=mba.22250; s=1865.99554266->1872.21561636; length=6.22007370228; span_s=1865.99554074->1872.21599465; span=6.2204539154],1865.9955426590027,1872.2156163612817
6.220073702279024,2,VEBA.22570[SPVEBA_; ref=mba.22570; s=1968.39489408->1975.05497584; length=6.66008175947; span_s=1968.39489408->1975.05537835; span=6.66048426813] | MBA.22570[SPMBA__; ref=mba.22570; s=1968.60889408->1974.82896778; length=6.22007370228; span_s=1968.60889216->1974.82934607; span=6.2204539154],1968.6088940790028,1974.8289677812818
6.220073702279024,2,VEBA.22590[SPVEBA_; ref=mba.22590; s=1975.05491342->1981.71499518; length=6.66008175947; span_s=1975.05491342->1981.71539769; span=6.66048426813] | MBA.22590[SPMBA__; ref=mba.22590; s=1975.26891342->1981.48898712; length=6.22007370228; span_s=1975.2689115->1981.48936541; span=6.2204539154],1975.268913419003,1981.488987121282
6.220073702279024,2,VEBA.22650[SPVEBA_; ref=mba.22650; s=1993.7726521->2000.43273386; length=6.66008175947; span_s=1993.7726521->2000.43313637; span=6.66048426813] | MBA.22650[SPMBA__; ref=mba.22650; s=1993.9866521->2000.2067258; length=6.22007370228; span_s=1993.98665018->2000.20710409; span=6.2204539154],1993.9866520990026,2000.2067258012817
6.220073702279024,2,VEBA.22770[SPVEBA_; ref=mba.22770; s=2032.3904488->2039.05053056; length=6.66008175947; span_s=2032.3904488->2039.05093307; span=6.66048426813] | MBA.22770[SPMBA__; ref=mba.22770; s=2032.6044488->2038.8245225; length=6.22007370228; span_s=2032.60444688->2038.82490079; span=6.2204539154],2032.6044487990027,2038.8245225012818
6.220073702279024,2,VEBA.22790[SPVEBA_; ref=mba.22790; s=2039.05046814->2045.7105499; length=6.66008175947; span_s=2039.05046814->2045.71095241; span=6.66048426813] | MBA.22790[SPMBA__; ref=mba.22790; s=2039.26446814->2045.48454184; length=6.22007370228; span_s=2039.26446622->2045.48492013; span=6.2204539154],2039.2644681390025,2045.4845418412815
6.220073702279024,2,VEBA.23050[SPVEBA_; ref=mba.23050; s=2121.76376154->2128.4238433; length=6.66008175947; span_s=2121.76376154->2128.42424581; span=6.66048426813] | MBA.23050[SPMBA__; ref=mba.23050; s=2121.97776154->2128.19783524; length=6.22007370228; span_s=2121.97775962->2128.19821353; span=6.2204539154],2121.977761539002,2128.197835241281
6.220073702279024,2,VEBA.23170[SPVEBA_; ref=mba.23170; s=2160.38155824->2167.04164; length=6.66008175947; span_s=2160.38155824->2167.04204251; span=6.66048426813] | MBA.23170[SPMBA__; ref=mba.23170; s=2160.59555824->2166.81563194; length=6.22007370228; span_s=2160.59555632->2166.81601023; span=6.2204539154],2160.595558239002,2166.815631941281
6.220073702279024,2,VEBA.23190[SPVEBA_; ref=mba.23190; s=2167.04157758->2173.70165934; length=6.66008175947; span_s=2167.04157758->2173.70206185; span=6.66048426813] | MBA.23190[SPMBA__; ref=mba.23190; s=2167.25557758->2173.47565128; length=6.22007370228; span_s=2167.25557566->2173.47602957; span=6.2204539154],2167.255577579002,2173.475651281281
6.220073702279024,2,VEBA.23370[SPVEBA_; ref=mba.23370; s=2224.37711296->2231.03719472; length=6.66008175947; span_s=2224.37711296->2231.03759723; span=6.66048426813] | MBA.23370[SPMBA__; ref=mba.23370; s=2224.59111296->2230.81118666; length=6.22007370228; span_s=2224.59111104->2230.81156495; span=6.2204539154],2224.591112959002,2230.811186661281
6.220073702279024,2,VEBA.23390[SPVEBA_; ref=mba.23390; s=2231.0371323->2237.69721406; length=6.66008175947; span_s=2231.0371323->2237.69761657; span=6.66048426813] | MBA.23390[SPMBA__; ref=mba.23390; s=2231.2511323->2237.471206; length=6.22007370228; span_s=2231.25113038->2237.47158429; span=6.2204539154],2231.251132299002,2237.471206001281
