field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bx,0,Poly_11,-0.984,-0.974,116,126,3,ks_1_3,ks_1_3,15357753.3617328,True
Bx,0,Poly_11,-0.984,-0.974,116,126,4,ks_1_4,ks_1_4,3972826.133400162,True
Bx,0,Poly_110,0.34600000000000003,0.358,1446,1458,0,ks_1_0,ks_1_0,184018.20451866364,True
Bx,0,Poly_110,0.34600000000000003,0.358,1446,1458,1,ks_1_1,ks_1_1,-2118957.9007075136,True
Bx,0,Poly_110,0.34600000000000003,0.358,1446,1458,2,ks_1_2,ks_1_2,9148252.000278777,True
Bx,0,Poly_110,0.34600000000000003,0.358,1446,1458,3,ks_1_3,ks_1_3,-17550577.272532325,True
Bx,0,Poly_110,0.34600000000000003,0.358,1446,1458,4,ks_1_4,ks_1_4,12623874.6336237,True
Bx,0,Poly_111,0.358,0.376,1458,1476,0,ks_1_0,ks_1_0,19103.169747823886,True
Bx,0,Poly_111,0.358,0.376,1458,1476,1,ks_1_1,ks_1_1,-176861.27666599103,True
Bx,0,Poly_111,0.358,0.376,1458,1476,2,ks_1_2,ks_1_2,594082.1506983422,True
Bx,0,Poly_111,0.358,0.376,1458,1476,3,ks_1_3,ks_1_3,-844467.7019817167,True
Bx,0,Poly_111,0.358,0.376,1458,1476,4,ks_1_4,ks_1_4,415155.9513993658,True
Bx,0,Poly_112,0.376,0.388,1476,1488,0,ks_1_0,ks_1_0,29144.568034935815,True
Bx,0,Poly_112,0.376,0.388,1476,1488,1,ks_1_1,ks_1_1,-348124.44315966096,True
Bx,0,Poly_112,0.376,0.388,1476,1488,2,ks_1_2,ks_1_2,1534797.8416483044,True
Bx,0,Poly_112,0.376,0.388,1476,1488,3,ks_1_3,ks_1_3,-2969666.364742493,True
Bx,0,Poly_112,0.376,0.388,1476,1488,4,ks_1_4,ks_1_4,2132703.227146671,True
Bx,0,Poly_113,0.388,0.4,1488,1500,0,ks_1_0,ks_1_0,139524.62139609002,True
Bx,0,Poly_113,0.388,0.4,1488,1500,1,ks_1_1,ks_1_1,-1398024.4351472594,True
Bx,0,Poly_113,0.388,0.4,1488,1500,2,ks_1_2,ks_1_2,5252279.091127575,True
Bx,0,Poly_113,0.388,0.4,1488,1500,3,ks_1_3,ks_1_3,-8768663.123683449,True
Bx,0,Poly_113,0.388,0.4,1488,1500,4,ks_1_4,ks_1_4,5488860.8004304925,True
Bx,0,Poly_114,0.4,0.41200000000000003,1500,1512,0,ks_1_0,ks_1_0,329786.11933143594,True
Bx,0,Poly_114,0.4,0.41200000000000003,1500,1512,1,ks_1_1,ks_1_1,-3286048.4166137255,True
Bx,0,Poly_114,0.4,0.41200000000000003,1500,1512,2,ks_1_2,ks_1_2,12276917.506870067,True
Bx,0,Poly_114,0.4,0.41200000000000003,1500,1512,3,ks_1_3,ks_1_3,-20382749.170858797,True
Bx,0,Poly_114,0.4,0.41200000000000003,1500,1512,4,ks_1_4,ks_1_4,12688370.767292362,True
Bx,0,Poly_115,0.41200000000000003,0.43,1512,1530,0,ks_1_0,ks_1_0,30187.23094568007,True
Bx,0,Poly_115,0.41200000000000003,0.43,1512,1530,1,ks_1_1,ks_1_1,-245439.85098696122,True
Bx,0,Poly_115,0.41200000000000003,0.43,1512,1530,2,ks_1_2,ks_1_2,726475.4934103874,True
Bx,0,Poly_115,0.41200000000000003,0.43,1512,1530,3,ks_1_3,ks_1_3,-915400.7289883895,True
Bx,0,Poly_115,0.41200000000000003,0.43,1512,1530,4,ks_1_4,ks_1_4,403876.87506741314,True
Bx,0,Poly_116,0.43,0.442,1530,1542,0,ks_1_0,ks_1_0,59379.06147095362,True
Bx,0,Poly_116,0.43,0.442,1530,1542,1,ks_1_1,ks_1_1,-600579.9639332995,True
Bx,0,Poly_116,0.43,0.442,1530,1542,2,ks_1_2,ks_1_2,2257379.600354717,True
Bx,0,Poly_116,0.43,0.442,1530,1542,3,ks_1_3,ks_1_3,-3742383.4493567953,True
Bx,0,Poly_116,0.43,0.442,1530,1542,4,ks_1_4,ks_1_4,2311538.7663555057,True
Bx,0,Poly_117,0.442,0.454,1542,1554,0,ks_1_0,ks_1_0,231166.8885498775,True
Bx,0,Poly_117,0.442,0.454,1542,1554,1,ks_1_1,ks_1_1,-2040317.5716766084,True
Bx,0,Poly_117,0.442,0.454,1542,1554,2,ks_1_2,ks_1_2,6752323.606471871,True
Bx,0,Poly_117,0.442,0.454,1542,1554,3,ks_1_3,ks_1_3,-9930620.008895257,True
Bx,0,Poly_117,0.442,0.454,1542,1554,4,ks_1_4,ks_1_4,5476193.679889112,True
Bx,0,Poly_118,0.454,0.466,1554,1566,0,ks_1_0,ks_1_0,552963.9136170079,True
Bx,0,Poly_118,0.454,0.466,1554,1566,1,ks_1_1,ks_1_1,-4856237.322525228,True
Bx,0,Poly_118,0.454,0.466,1554,1566,2,ks_1_2,ks_1_2,15991506.12198258,True
Bx,0,Poly_118,0.454,0.466,1554,1566,3,ks_1_3,ks_1_3,-23401842.77386486,True
Bx,0,Poly_118,0.454,0.466,1554,1566,4,ks_1_4,ks_1_4,12840865.498704754,True
Bx,0,Poly_119,0.466,0.484,1566,1584,0,ks_1_0,ks_1_0,39169.43768548834,True
Bx,0,Poly_119,0.466,0.484,1566,1584,1,ks_1_1,ks_1_1,-277220.97711661534,True
Bx,0,Poly_119,0.466,0.484,1566,1584,2,ks_1_2,ks_1_2,708707.8734193831,True
Bx,0,Poly_119,0.466,0.484,1566,1584,3,ks_1_3,ks_1_3,-760184.5018264177,True
Bx,0,Poly_119,0.466,0.484,1566,1584,4,ks_1_4,ks_1_4,276560.2289007598,True
Bx,0,Poly_12,-0.974,-0.962,126,138,0,ks_1_0,ks_1_0,2329710.7549519404,True
Bx,0,Poly_12,-0.974,-0.962,126,138,1,ks_1_1,ks_1_1,9358689.550183624,True
Bx,0,Poly_12,-0.974,-0.962,126,138,2,ks_1_2,ks_1_2,14085179.080855753,True
Bx,0,Poly_12,-0.974,-0.962,126,138,3,ks_1_3,ks_1_3,9412548.68390603,True
Bx,0,Poly_12,-0.974,-0.962,126,138,4,ks_1_4,ks_1_4,2356341.829540442,True
